wine,chips,bread,butter,milk,apple
wine,chips,,butter,milk,
,,bread,butter,milk,apple
,,bread,butter,milk,apple
wine,chips,bread,,milk,
wine,chips,,butter,milk,apple
wine,chips,,butter,,apple
wine,chips,bread,butter,milk,apple
wine,chips,bread,butter,milk,apple
wine,chips,,butter,milk,
,,,butter,,apple
wine,,bread,butter,milk,apple
wine,chips,bread,butter,milk,apple
wine,chips,bread,,milk,apple
,chips,bread,,milk,apple
,,bread,butter,milk,
wine,,bread,butter,milk,apple
wine,chips,bread,butter,,apple
wine,chips,bread,butter,,
wine,chips,bread,butter,milk,apple
wine,chips,bread,butter,milk,apple
,chips,bread,butter,milk,apple
